NOAA Solar Calculations - Change any of the highlighted cells to get solar position data for that location and time-of-day for a year.,,,Date,Time (hrs past local midnight),Julian Day,Julian Century,,Geom Mean Long Sun (deg),Geom Mean Anom Sun (deg),Eccent Earth Orbit,Sun Eq of Ctr,Sun True Long (deg),Sun True Anom (deg),Sun Rad Vector (AUs),Sun App Long (deg),Mean Obliq Ecliptic (deg),Obliq Corr (deg),Sun Rt Ascen (deg),Sun Declin (deg),var y,Eq of Time (minutes),HA Sunrise (deg),Solar Noon (LST),Sunrise,Sunset,Sunlight Duration (minutes),True Solar Time (min),Hour Angle (deg),Solar Zenith Angle (deg),Solar Elevation Angle (deg),Approx Atmospheric Refraction (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N),
Latitude (+ to N),38.95447,,1/1/2021,12:00:00,2459216.17,0.21002510,,281.5316478,7918.233131,0.0166998,-0.060259,281.4713888,7918.172872,0.983309413,281.4610094,23.43655991,23.43705614,-77.53932656,-22.94270643,0.043026089,-3.756267228,71.22090956,13:12:06,8:27:13,17:56:59,569.7672765,647.8946528,-18.02633681,64.15719147,25.84280853,0.033151097,25.87595963,161.5400919,
Longitude (+ to E),-77.08727,,1/2/2021,12:00:00,2459217.17,0.21005248,,282.5172951,7919.218731,0.016699798,-0.026648755,282.4906464,7919.192083,0.983302808,282.4802679,23.43655955,23.43705811,-76.43732894,-22.85143298,0.043026097,-4.220753669,71.311903,13:12:34,8:27:19,17:57:49,570.495224,647.4301663,-18.14245842,64.09796322,25.90203678,0.033064818,25.93510159,161.3983469,
Time Zone (+ to E),-4,,1/3/2021,12:00:00,2459218.17,0.21007985,,283.5029425,7920.204332,0.016699797,0.006969881,283.5099124,7920.211301,0.983301314,283.4995347,23.4365592,23.43706007,-75.33686208,-22.75258428,0.043026104,-4.679246934,71.41025929,13:13:02,8:27:23,17:58:40,571.2820743,646.9716731,-18.25708173,64.0313266,25.9686734,0.032968176,26.00164158,161.2555272,
Local Time (hrs),12:00:00,,1/4/2021,12:00:00,2459219.17,0.21010723,,284.4885898,7921.189932,0.016699796,0.040586317,284.5291762,7921.230518,0.98330493,284.5187994,23.43655884,23.43706204,-74.23804936,-22.6462087,0.043026112,-5.131262205,71.51588693,13:13:29,8:27:25,17:59:33,572.1270955,646.5196578,-18.37008555,63.95730145,26.04269855,0.032861349,26.0755599,161.1117221,
Year,2021,,1/5/2021,12:00:00,2459220.17,0.21013461,,285.4742372,7922.175532,0.016699795,0.07418996,285.5484272,7922.249722,0.983313655,285.5380513,23.43655848,23.437064,-73.14101094,-22.53235826,0.043026119,-5.576325841,71.62868853,13:13:56,8:27:25,18:00:26,573.0295082,646.0745942,-18.48135146,63.87591095,26.12408905,0.032744531,26.15683358,160.9670198,
,,,1/6/2021,12:00:00,2459221.17,0.21016199,,286.4598846,7923.161132,0.016699794,0.107770223,286.5676548,7923.268903,0.983327487,286.5572798,23.43655813,23.43706596,-72.04586365,-22.4110886,0.043026127,-6.013976101,71.7485611,13:14:22,8:27:22,18:01:21,573.9884888,645.6369439,-18.59076403,63.78718158,26.21281842,0.032617933,26.24543635,160.8215079,
,,,1/7/2021,12:00:00,2459222.17,0.21018937,,287.4455319,7924.146733,0.016699793,0.141316527,287.5868485,7924.288049,0.983346422,287.5764743,23.43655777,23.43706793,-70.95272073,-22.28245884,0.043026134,-6.443763835,71.87539641,13:14:48,8:27:17,18:02:18,575.0031713,645.2071562,-18.69821096,63.69114305,26.30885695,0.032481786,26.34133873,160.6752733,
,,,1/8/2021,12:00:00,2459223.17,0.21021675,,288.4311793,7925.132333,0.016699792,0.174818306,288.6059976,7925.307151,0.983370452,288.5956244,23.43655741,23.43706989,-69.86169171,-22.14653151,0.043026141,-6.865253148,72.00908133,13:15:13,8:27:11,18:03:15,576.0726506,644.7856669,-18.80358329,63.5878283,26.4121717,0.032336331,26.44450803,160.5284014,
,,,1/9/2021,12:00:00,2459224.17,0.21024413,,289.4168267,7926.117933,0.01669979,0.208265011,289.6250917,7926.326198,0.98339957,289.6147193,23.43655706,23.43707185,-68.77288223,-22.00337245,0.043026149,-7.278022026,72.14949814,13:15:38,8:27:02,18:04:14,577.1959851,644.372898,-18.90677551,63.47727343,26.52272657,0.032181827,26.55490839,160.3809769,
,,,1/10/2021,12:00:00,2459225.17,0.21027150,,290.402474,7927.103534,0.016699789,0.241646113,290.6441201,7927.34518,0.983433767,290.6337487,23.4365567,23.43707381,-67.68639392,-21.8530507,0.043026156,-7.681662933,72.29652495,13:16:02,8:26:51,18:05:13,578.3721996,643.9692571,-19.00768573,63.35951772,26.64048228,0.032018544,26.67250082,160.2330832,
